,replicates_count,train_replicate,repeat_no,time(min),R_train,R_validation,R_test_insample,R_test_independent,R_testHQ
26,k1,Virus1_IT_R3,6,4,0.7596270986702096,0.7235580513505379,0.7372343356647584,"[0.7275138172849718, 0.715796410018577, 0.7149487805866576, 0.5540713922764176, 0.5556944051398877, 0.5480001597105243, 0.5346481731889037, 0.5095385819633325, 0.5019070281415584, 0.48827815798081226, 0.4500330157465026, 0.45789558202720027]",0.8241912380473567
27,k1,Virus1_IT_R3,7,5,0.7779269035825458,0.7391869773762592,0.7302256496096347,"[0.7297379092457084, 0.7180696884384634, 0.7165200328312769, 0.5617103477801876, 0.5630971884250449, 0.5557163533247833, 0.5461220996546414, 0.5219463781331922, 0.5135270470717191, 0.4931818394120916, 0.45551992667860297, 0.4619554020912433]",0.8368142683306987
28,k1,Virus1_IT_R3,8,4,0.7709168606075184,0.744991804462169,0.7350623120486253,"[0.7303772730507837, 0.7187766256731255, 0.717514055016531, 0.567294610584623, 0.5686528984382778, 0.5611128292479104, 0.5495778167011085, 0.5249786871886293, 0.5170794259745611, 0.49840002609836576, 0.460859845004986, 0.467528842844045]",0.8408842909354175
29,k1,Virus1_IT_R3,9,4,0.7759240777816758,0.7275807772308122,0.7248732452798806,"[0.7303483013423332, 0.7183829440545144, 0.7169889326247724, 0.563285504671624, 0.564658444262664, 0.5574842935305387, 0.5435253980527568, 0.5190583059273329, 0.5113468950749007, 0.49423898513312986, 0.45551967656310394, 0.46249970130342116]",0.8364460908841648
30,k1,Virus2_IT_R1,0,4,0.7631020614851002,0.7210716701222434,0.7145252563118737,"[0.7119661904218643, 0.6988363681221827, 0.6994673685941285, 0.65645376336045, 0.6588765948178846, 0.6518559975319069, 0.6652019111577037, 0.6456690170910936, 0.6393150170543529, 0.5506599631449627, 0.5160008582237444, 0.5217896391000486]",0.9047531506671467
31,k1,Virus2_IT_R1,1,5,0.7617984063045207,0.7203476892681296,0.7105942275939653,"[0.7136932956977907, 0.701026996204003, 0.7011493891139837, 0.6556986180135652, 0.6597218986317996, 0.6514464063500621, 0.6638708059389602, 0.6435124355999279, 0.6385103251752644, 0.5485397874999695, 0.5157770966546784, 0.5197381477634082]",0.9029885644955303
32,k1,Virus2_IT_R1,2,4,0.7566412333650748,0.7211742604960683,0.7217139542615061,"[0.7054869772913703, 0.6927617312857568, 0.6944751316703087, 0.6576216863752214, 0.6604875375806767, 0.6531785772492774, 0.6676665593323415, 0.6477238215951961, 0.6426534357786508, 0.5455429490867052, 0.5120023797688216, 0.5177700512469428]",0.9044877991378254
33,k1,Virus2_IT_R1,3,5,0.7663762269716201,0.7273900269968245,0.7241022574188637,"[0.7120451527342466, 0.699507061675595, 0.6999989767071786, 0.6516053776876675, 0.6541764208560941, 0.646522774737008, 0.6618167358822454, 0.6410421656669255, 0.6357771379904822, 0.5518530976727801, 0.5170220464049452, 0.5208971944316675]",0.9095310011539984
34,k1,Virus2_IT_R1,4,4,0.7649429714686079,0.7182870551416094,0.7123036775512606,"[0.7164790956996022, 0.704566157376, 0.7047289378541524, 0.6561727027624379, 0.6582673231474893, 0.6511452887284872, 0.6632741858934833, 0.6432954073749324, 0.6381648566542151, 0.5489028172414193, 0.5139990520659485, 0.5188286141306658]",0.9067107568281549
35,k1,Virus2_IT_R1,5,4,0.7598977045427435,0.7283071974366347,0.7229065171009155,"[0.7139094043391736, 0.7011861766549631, 0.7020148452396876, 0.6586983978142611, 0.661125230438403, 0.6532967997341814, 0.6705196241452618, 0.6497433494356423, 0.644849407468362, 0.5523436901938543, 0.5180994723195735, 0.5231367116642269]",0.9096366785465018
36,k1,Virus2_IT_R1,6,4,0.7520878688590297,0.7202684049498271,0.7335398461971712,"[0.7129643641660209, 0.7002031884003457, 0.7012860857160822, 0.662303770130166, 0.6648680613268417, 0.6575145815066074, 0.6706885480921241, 0.6501619000109872, 0.6451124449321254, 0.5531555484352774, 0.5179323320088807, 0.5240589238276426]",0.9103902321073672
37,k1,Virus2_IT_R1,7,4,0.7583305293817499,0.7291192164692499,0.7246510566173049,"[0.7083740669154635, 0.6962644883980883, 0.6960218112273363, 0.6556385156224948, 0.6579906343378373, 0.6513375253743874, 0.666747523680295, 0.6463082748943979, 0.6416563753887168, 0.54967652184196, 0.5139742390111517, 0.5184479235912061]",0.9106751320996082
38,k1,Virus2_IT_R1,8,3,0.7475421068798781,0.7105507734028709,0.723619515439912,"[0.7027627195972336, 0.6895925324544655, 0.6909631404856313, 0.660464442092631, 0.6636957771343428, 0.6574127614872324, 0.6732964978723274, 0.6528811726450486, 0.6481785044368158, 0.5524393198621853, 0.5175441473163641, 0.5237443864970629]",0.912449984809408
39,k1,Virus2_IT_R1,9,4,0.754247154533246,0.7170146468913349,0.7155187701523007,"[0.7008225200415769, 0.6882148642530935, 0.689371452121325, 0.6577307188089606, 0.6603435278423303, 0.6524304127107596, 0.6711378635404572, 0.6512188850253574, 0.6457815190566396, 0.5484107245815516, 0.5131297935626832, 0.5180167357613983]",0.90800712239301
40,k1,Virus2_IT_R2,0,4,0.754525156935962,0.7238762519107899,0.6974558245150826,"[0.6987073444883217, 0.6854951264777804, 0.6869328899668414, 0.6570767384622406, 0.6590523753702211, 0.6527899633082034, 0.6686854727068858, 0.6486616760106565, 0.6444051427158268, 0.5499930635350524, 0.515354813964306, 0.5199545917491634]",0.9089272397464512
41,k1,Virus2_IT_R2,1,3,0.7478071719157919,0.7020562166762829,0.7306012749580356,"[0.7184577983862384, 0.7063365997349991, 0.7064270208874921, 0.6585309134288035, 0.6615099029200908, 0.6540389456397574, 0.6678373593048489, 0.6474546679910853, 0.6417942611723431, 0.5553334041130847, 0.5194918309242629, 0.5260408020623124]",0.9125184685639005
42,k1,Virus2_IT_R2,2,3,0.7538051023336105,0.7260593556271884,0.7138821974779702,"[0.7058699315091728, 0.6942294786001324, 0.6951140641790565, 0.6597886996139746, 0.6625295044070869, 0.655737901758251, 0.6695850686851356, 0.6493885627834318, 0.6443726819427201, 0.5497589225214596, 0.5143414647206096, 0.5202227172985309]",0.9112702588142663
43,k1,Virus2_IT_R2,3,3,0.7630883393348981,0.7209527419738498,0.7042097713334409,"[0.6969753948206684, 0.6851745585042681, 0.6861866209054269, 0.658857530161401, 0.6610228516950136, 0.6547798059639617, 0.6679977197421382, 0.648561732225244, 0.6439169198855048, 0.5460153642938079, 0.512454830782959, 0.5173025961228458]",0.9080917289639202
44,k1,Virus2_IT_R2,4,2,0.7436665190322904,0.7176835209769947,0.711054723760977,"[0.7198136350009173, 0.7075711939415898, 0.7085548478744219, 0.6590083768654684, 0.6617667659879808, 0.6553189433094337, 0.6642598441172756, 0.6439187024653611, 0.6384275802438836, 0.5521384522180947, 0.5172854453520371, 0.5225806309592689]",0.9064607952392028
45,k1,Virus2_IT_R2,5,3,0.753849921477746,0.7131420590377008,0.7149766641244478,"[0.7167024568870042, 0.7045193107595827, 0.7058498920428051, 0.6625493705455651, 0.6651171627844042, 0.6584423018505511, 0.6690126871152167, 0.6483350463249099, 0.6432831881555316, 0.553395557495468, 0.5195912087200734, 0.5251048057914872]",0.9121667208986138
46,k1,Virus2_IT_R2,6,3,0.7473494126135148,0.7176302522865566,0.7148541247612834,"[0.7026406226872097, 0.6884858845550741, 0.6908054343063339, 0.6600797606857954, 0.6635302889446653, 0.656528888257874, 0.6694796187938998, 0.6503968928082452, 0.645329215291834, 0.550407465619131, 0.5165583813357967, 0.5211087326129545]",0.9077832216229639
47,k1,Virus2_IT_R2,7,3,0.7623293586515131,0.7044465178637642,0.7275983377140307,"[0.7131140201166003, 0.7003696628530772, 0.7020026479417111, 0.6559445899916949, 0.6588461951354113, 0.6518071924808023, 0.6641587922308926, 0.6430993687913079, 0.6382631922837669, 0.552065114407503, 0.5171798905581061, 0.5227347864788062]",0.9096260079240138
48,k1,Virus2_IT_R2,8,2,0.7519153629767554,0.7249780943770622,0.7163622188573097,"[0.7176649691700648, 0.7050799474295097, 0.7057313163907734, 0.6570502537028089, 0.6600346000572098, 0.6526336673147688, 0.6648602584223959, 0.6448135725208461, 0.6392377457028087, 0.5551023574584386, 0.5191485134436153, 0.5248779720719946]",0.9089967738981833
