n_features,n_samples,corr_Ytrue_Ynoisy1,corr_Ytrue_Ynoisy2,corr_Ynoisy1_Ynoisy2,corr_pred0_Ytrue,corr_pred_Ytrue,corr_pred_Ynoisy1,corr_pred_Ynoisy2,iteration_corr_pred_Ytrue,iteration_corr_pred_Ynoisy1,corr_pred_Ytrue_optimal
89,17800,0.9748741197320754,0.8739780406575747,0.8530554614449379,0.9463644148731848,0.9521441005582572,0.9259211688359353,0.8224786440141151,"[0.9600820076777934, 0.963666441973839, 0.9621957901188742, 0.9608950124853125, 0.9610941439402293, 0.9599661642213018]","[0.9432385368111803, 0.9450417854865178, 0.941850633127445, 0.9401262461952091, 0.9398916631887059, 0.9385686723534399]",0.96006526888128
60,12000,0.8549301596413785,0.6209924477253658,0.5258794963012827,0.9053585306456171,0.9270318872169999,0.7995660189497537,0.5731466894804088,"[0.9092865804528489, 0.9232206146952591, 0.9248993284202089, 0.9266579790682681]","[0.8154514485598316, 0.8226877757716654, 0.8196881803365901, 0.8150145077830324]",0.9410887623785847
50,10000,0.7620745307347784,0.9694461716005278,0.7383155590281194,0.7819539174887395,0.8424275815834443,0.659166760057419,0.8192717866812926,"[0.8555124962964549, 0.8835280585822576, 0.8818638340528099, 0.8889302110381161]","[0.7278355490808068, 0.7164101488360914, 0.7085453522375504, 0.7131242560021374]",0.859144160360226
62,12400,0.5964818506981089,0.7644370744320648,0.45333656802535505,0.793337683650261,0.8605295869065641,0.5201572279566133,0.6620582712249033,"[0.8181535071195707, 0.8434124282257157, 0.8652880894125046, 0.870954778187198, 0.8699571679978642, 0.8705690581313206, 0.8705248307006843, 0.871311551183853]","[0.5744131920398394, 0.5825696239300721, 0.5846308945115697, 0.5731841030194166, 0.5703319123981239, 0.5660856452760821, 0.5616825057359567, 0.5601208781955791]",0.9273120070928612
38,7600,0.9289379012908969,0.8967549215062446,0.8306990960539185,0.9330719942748258,0.9397634204168528,0.8882619641108258,0.8667701347550127,"[0.9510646968993133, 0.9575863932771356, 0.9624715452651064, 0.9584576465528196, 0.9624293586675435]","[0.8999178338803946, 0.902129950921901, 0.9052765133480415, 0.8984327993690486, 0.9014969938095322]",0.9419878407279045
77,15400,0.620197860955168,0.8982871373906905,0.555391179668092,0.7634654757023028,0.8371303951677276,0.5032232524039907,0.7366868831978592,"[0.8355620238234627, 0.8639213392259806, 0.8785875389570131, 0.8825651756391383, 0.8861510495739741, 0.8847892226921042, 0.8853947972353045, 0.8832180419331795, 0.8838963090014436]","[0.605930769337349, 0.6024096486943081, 0.6077940139046348, 0.6012329690779116, 0.5977901832352438, 0.5926089341028496, 0.5868512436534723, 0.5848819046714516, 0.5830807891859475]",0.8874468955579989
48,9600,0.43414028174765046,0.760852232814828,0.33339798929612924,0.7537923655790704,0.8312522131752926,0.40217574346448226,0.6500310210823981,"[0.7535006830867816, 0.7891036419669901, 0.818256928880668, 0.827849129049138, 0.8319029848957189, 0.8367444923575349]","[0.47531495093319964, 0.47546131480966325, 0.48212731604578163, 0.47256270687281887, 0.46643311484210015, 0.4570964149806943]",0.9475986990005758
99,19800,0.6132507191635163,0.964063495965731,0.5944651076380022,0.8303231849101654,0.8859024543571494,0.5774309551787208,0.8578381093334476,"[0.82429840527519, 0.8542405666245343, 0.8713941192598793, 0.8696200304281101, 0.8732271706560267, 0.8701675362131425, 0.8711645890585187, 0.8671864432934703, 0.8719538956567687, 0.8711763862343579]","[0.5846495208136265, 0.608240424374539, 0.6208054049491596, 0.6063667304749663, 0.6013406367281923, 0.5920044355100903, 0.5912226509950218, 0.5837015893429904, 0.5858303202482755, 0.5837201992103687]",0.9544694432554602
87,17400,0.9206725154461249,0.83027969768324,0.7643276631755869,0.8960562650637871,0.910045879294295,0.8290258563851746,0.7422497334762418,"[0.9275049895000581, 0.9388461069349789, 0.9375338355496727, 0.9332842492065359, 0.9324805236604509, 0.9336760075933072, 0.9306160541421672]","[0.8746296265246938, 0.8820394217359653, 0.8752925536182075, 0.8689040366244355, 0.8664546232800998, 0.8667782219555903, 0.8630035486191014]",0.9121730468851941
71,14200,0.558531016993637,0.4505831376860993,0.24926055145290502,0.6635820624873426,0.739902562032244,0.43362614747705763,0.37029872186820684,"[0.7208027710421212, 0.7698833621865913, 0.7941861712944366, 0.7963697833052238, 0.802885900874353, 0.804771527346583, 0.8024233061019801, 0.8021188122316243, 0.801111423422102, 0.8006778821685793]","[0.5145066235434792, 0.532488811507532, 0.5179330343008677, 0.5175975577614869, 0.5154343598816246, 0.5099594717752514, 0.5028860610696839, 0.5023337271280225, 0.4975739398692539, 0.4963380308064586]",0.8105353426654165
