n_features,n_samples,corr_Ytrue_Ynoisy1,corr_Ytrue_Ynoisy2,corr_Ynoisy1_Ynoisy2,corr_Yavg12_Ytrue,var_Ynoisy1,var_Ynoisy2,corr_pred_Ytrue,corr_pred_Ynoisy1,corr_pred_Ynoisy2,corr_pred_YnoisyLow,corr_pred_YnoisyHigh,var_Ypred,cov_Ynoisy1_Ynoisy2,cov_pred_Ynoisy1
398,79600,0.7417752704313212,0.6880226106689439,0.5124674425002744,0.8208480234940416,0.28649585724919757,0.3293390970520527,0.8186687354991161,0.604020259443823,0.5698622750106606,0.7847316466564584,0.3932438377466918,0.14821324,0.15741782876063137,0.12325295508307832
113,22600,0.638899976347821,0.8428244131835068,0.5381029069090607,0.8270445952873958,0.33885711243044364,0.19783364488956864,0.7929332864617868,0.5153619846683667,0.6571510273944369,0.7724256088977318,0.5248481410477102,0.13370778,0.13933099503656865,0.11081820397997232
423,84600,0.8037723878313086,0.7426410603528609,0.5960148677341874,0.8639755556869729,0.16011796416375096,0.18845668230899854,0.8008336531607084,0.6403769636047882,0.5914996484135561,0.6057193757328906,0.5366193769423822,0.07559478,0.10353550611859524,0.0700549791390087
166,33200,0.5933034415046647,0.7289836423780166,0.4337430076258817,0.7723219749037497,0.598586716115652,0.4157161605360032,0.7550400351199764,0.4515608064038071,0.5473915719839109,0.5622375128956141,0.4386246769152219,0.20110463,0.21637686764869812,0.15871298212824558
158,31600,0.5450213763468206,0.7186227209835386,0.3847771153571721,0.7419098070801757,0.5044377775697998,0.2904227166495686,0.7298611479967263,0.3958641177781749,0.5026820158859737,0.5840228146782165,0.49143958505430463,0.15434246,0.14728058744807074,0.10887254936962029
392,78400,0.5917597041418355,0.5248456971666575,0.3106906876807276,0.6863457140605493,0.5301149881165839,0.6820135884712688,0.7835395598091512,0.46652928446253755,0.39764256988844515,0.600655676317058,0.40477370826298853,0.17803039,0.18681713875666384,0.1449343285945234
223,44600,0.9922299054481034,0.8657315868923504,0.8592943732067695,0.9589514891813178,0.13688128203863836,0.17883411452392733,0.9001981793324474,0.8938566559621638,0.7771416988456686,0.7644274454281608,0.4674764617170471,0.12013819,0.13444707446148688,0.11354187437779274
218,43600,0.8950375062332476,0.4860420312302993,0.4314694689901722,0.7297866639576456,0.17933616024658355,0.6268822183238817,0.8478992291474658,0.7533400999900091,0.3984100814645256,0.7079590876970195,0.5477674624820503,0.12159745,0.144673647340224,0.11002833476299115
318,63600,0.5683636959082391,0.4540928208427326,0.26207643504453,0.6327462991496231,0.5349913714144108,0.8521440750944871,0.7562314360791584,0.4304147434032917,0.34840310841720834,0.7218829466160548,0.41500189147553884,0.16078031,0.17695645581922673,0.1280006018994901
171,34200,0.5526692098855297,0.8174130053643169,0.44875620713036085,0.7699618827540656,0.5014444364100612,0.23185730138110788,0.7538461817896039,0.4263988422416174,0.6219061950789498,0.7533247087819636,0.4447166628918616,0.16830863,0.15301997944368756,0.12363323465415398
401,80200,0.5162334544179816,0.8892761989321527,0.4546633948640314,0.7555161844989623,0.5742436033350595,0.19197444897526428,0.7395224321309791,0.3886284105596589,0.6615612123514463,0.6940080592161392,0.347353744377279,0.14813322,0.15096162334307867,0.11414232440113378
340,68000,0.4556474480929856,0.4522421099470125,0.20309699774630455,0.5852766504980608,0.602447351894189,0.61003321999872,0.708294308885898,0.3229275392926529,0.3383638562408494,0.700890612483688,0.3510772821578629,0.12960322,0.12312543550965675,0.09048326750744586
305,61000,0.8264542924093983,0.568916002033277,0.46751917083843675,0.7808394770196766,0.22598719426091188,0.4876151001570413,0.8814770329784002,0.7372192961453273,0.5081437687053765,0.7592609098324185,0.49614016465054955,0.14681217,0.15519896180725765,0.13739130169213157
291,58200,0.4912109692516364,0.8051077656608292,0.3934065016042467,0.7219602091456575,0.5590934108507424,0.2085162250667297,0.6998076220881387,0.3290856790766434,0.5521144408074844,0.6938046114634091,0.3238566204910374,0.13134961,0.13432689457308736,0.08778491891948463
166,33200,0.7047415671743351,0.8061136438576049,0.5675795134032422,0.849027380257595,0.3819402181609911,0.2937429677312718,0.7886697863607781,0.556675685541473,0.6319320833718579,0.7624613199223381,0.41019635781134944,0.18135945,0.1901185521113114,0.14610612872770884
256,51200,0.9235157167509395,0.7913690115873513,0.7299595091678248,0.9161579943814873,0.23593206847408435,0.3194417494529412,0.8739131144331377,0.8106771747675018,0.7056866849658736,0.8131525043952539,0.4662981890457413,0.21285696,0.20040045303102758,0.19007795402503708
436,87200,0.9888162284571318,0.4824202371661515,0.477804329127896,0.7381998762858707,0.1364193832348075,0.5792558843746975,0.8605440663245232,0.849742966790885,0.40629959807259214,0.8439597418066926,0.3897508429198425,0.10007432,0.1343165641536291,0.09553293418164187
235,47000,0.7653379322073025,0.4797431367930134,0.3623959395507224,0.7082078683476062,0.30677450227650405,0.7508846313869862,0.8224531422891699,0.6293974306619772,0.40549333799935267,0.6474961411532411,0.5544374015330255,0.17809556,0.17393665402289687,0.14915037997470282
420,84000,0.5065078553642378,0.5938717109810232,0.29843304620657657,0.6775072514018804,0.7290901712785701,0.5336137900622436,0.7098070119075724,0.3623691357928168,0.41964790833481697,0.6448317551105449,0.4242738949890513,0.14673972,0.18614763321575903,0.11774886737366841
324,64800,0.8246454075887923,0.7230595698627653,0.5977736066295499,0.8615695384948324,0.2622909776291381,0.3417359955713322,0.8251972281403634,0.6630026098700202,0.5811403277353501,0.6480354606648037,0.35906222486997386,0.14097273,0.1789707889012196,0.12412671513765675
382,76400,0.4785553068277219,0.4871954069173331,0.23216338675617562,0.6151758635153827,0.5779663208747574,0.5693015486911224,0.6663903399390285,0.3179903371088136,0.32107268697002955,0.6249203054867206,0.3898505091676677,0.16133909,0.13317517766954234,0.09612029838338337
98,19600,0.9738740304907699,0.45134746378122925,0.43993213093889283,0.7151950805146373,0.07655322087149173,0.3303560368801038,0.8392368595939732,0.8174961711142905,0.40105983032924125,0.8327624724087613,0.43456178728252415,0.05943316,0.06996586989853498,0.05676162555403815
273,54600,0.7512894397518424,0.7414292694628569,0.5541919685954734,0.846624228353566,0.33646296904762085,0.34482616870099414,0.8262002422529201,0.6291380227799498,0.6140141826291193,0.8245093924142827,0.5228397075119317,0.19647628,0.1887725816599474,0.16173857694143698
